"Tabela","Kontekst / Grupa docelowa","Cykl rekrutacyjny","Etap rekrutacji","Termin","Uwagi / Przypisy"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","3","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","25.07 (sobota) – 28.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","4","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","25.07 (po godzinie 15:00) – 28.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","4","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 27.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","4","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","29.07",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","4","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","30.07 – 3.08",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","5","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","1.09 – 15.09 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","5","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 14.09",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","5","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","16.09",""
"Tab. 1","Studia stacjonarne pierwszego stopnia, semestr zimowy 2026/2027","5","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","17.09 – 22.09 w tym sobota 19.09",""
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","1.06 – 23.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 22.07",""
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","24.07",""
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","25.07 (sobota) – 3.08",""
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","a) Złożenie i opłacenie lub potwierdzenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","1.09 – 17.09 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","b) Przesłanie dokumentów potwierdzających dodatkowe osiągnięcia/aktywności uwzględniane w elemencie D wskaźnika WR","do 16.09",""
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","18.09",""
"Tab. 2","Studia niestacjonarne pierwszego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","19.09 (sobota) – 22.09",""
"Tab. 3","Kandydaci posiadający wykształcenie uzyskane w zagranicznym systemie oświaty (brak wyniku z matematyki na poziomie równoważnym polskiemu poziomowi rozszerzonemu)","Termin 1","Złożenie i opłacenie w systemie e-Rekrutacja deklaracji przystąpienia do egzaminu","1.06 – 9.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 3","Kandydaci posiadający wykształcenie uzyskane w zagranicznym systemie oświaty (brak wyniku z matematyki na poziomie równoważnym polskiemu poziomowi rozszerzonemu)","Termin 1","Egzamin z matematyki organizowany przez AGH","10.07",""
"Tab. 3","Kandydaci posiadający wykształcenie uzyskane w zagranicznym systemie oświaty (brak wyniku z matematyki na poziomie równoważnym polskiemu poziomowi rozszerzonemu)","Termin 1","Ogłoszenie wyników egzaminu po godzinie 15:00","13.07",""
"Tab. 3","Kandydaci posiadający wykształcenie uzyskane w zagranicznym systemie oświaty (brak wyniku z matematyki na poziomie równoważnym polskiemu poziomowi rozszerzonemu)","Termin 2","Złożenie i opłacenie w systemie e-Rekrutacja deklaracji przystąpienia do egzaminu","1.09 – 9.09 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 3","Kandydaci posiadający wykształcenie uzyskane w zagranicznym systemie oświaty (brak wyniku z matematyki na poziomie równoważnym polskiemu poziomowi rozszerzonemu)","Termin 2","Egzamin z matematyki organizowany przez AGH","10.09",""
"Tab. 3","Kandydaci posiadający wykształcenie uzyskane w zagranicznym systemie oświaty (brak wyniku z matematyki na poziomie równoważnym polskiemu poziomowi rozszerzonemu)","Termin 2","Ogłoszenie wyników egzaminu po godzinie 15:00","16.09",""
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","a) Złożenie i opłacenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","22.06 – do 20.07 do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","b) Przeprowadzanie egzaminów wstępnych","22.07 – 24.07",""
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","27.07",""
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 1","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","28.07 – 3.08",""
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","a) Złożenie i opłacenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","1.09 – 9.09, do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","b) Przeprowadzanie egzaminów wstępnych","11.09 – 12.09 (sobota)",""
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","15.09",""
"Tab. 4","Studia stacjonarne drugiego stopnia, semestr zimowy 2026/2027","Cykl rekrutacyjny 2","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","16.09 – 22.09, w tym sobota 19.09",""
"Tab. 5","Studia niestacjonarne drugiego stopnia, semestr zimowy 2026/2027","Obowiązujące terminy","a) Złożenie i opłacenie w systemie e-Rekrutacja deklaracji przystąpienia do kwalifikacji na studia","1.09 – 9.09, do godz. 14:00","za datę uiszczenia opłaty uznaje się datę uznania rachunku operatora płatności elektronicznych lub datę uznania rachunku bankowego AGH"
"Tab. 5","Studia niestacjonarne drugiego stopnia, semestr zimowy 2026/2027","Obowiązujące terminy","b) Przeprowadzanie egzaminów wstępnych","11.09 – 12.09 (sobota)",""
"Tab. 5","Studia niestacjonarne drugiego stopnia, semestr zimowy 2026/2027","Obowiązujące terminy","c) Wstępna kwalifikacja kandydatów (ogłoszenie wyników po godz. 15:00)","15.09",""
"Tab. 5","Studia niestacjonarne drugiego stopnia, semestr zimowy 2026/2027","Obowiązujące terminy","d) Dokonywanie wpisu na listę studentów przez zakwalifikowanych kandydatów","16.09 – 22.09, w tym sobota 19.09",""
